Serial Number,Assessed Value,Sale Amount,Sales Ratio,Residential Type
90069,280300.0,270000.0,1.038148148,Single Family
161298,559640.0,535000.0,1.046056075,Single Family
200454,932960.0,1800000.0,0.5183,Single Family
12476,108050.0,124000.0,0.871370968,Condo
60345,211400.0,310000.0,0.681935484,Single Family
20000189,253430.0,425000.0,0.5963,Single Family
60067,159670.0,300000.0,0.532233333,Single Family
100442,198500.0,317000.0,0.626182965,Single Family
200949,86280.0,150000.0,0.5752,Condo
1700376,134900.0,236600.0,0.5701,Single Family
100155,123130.0,160000.0,0.7695625,Single Family
60041,52640.0,138000.0,0.381449275,Condo
200152,345800.0,525000.0,0.6586,Single Family
200160,159740.0,215000.0,0.7429,Single Family
70553,170940.0,269000.0,0.635464684,Single Family
160132,171350.0,240000.0,0.713958333,Single Family
150050,107310.0,105000.0,1.022,Single Family
131204,479020.0,1165000.0,0.411175966,Single Family
11224,199080.0,204000.0,0.975882353,Single Family
800341,519760.0,615000.0,0.845138211,Single Family
14437,192910.0,323500.0,0.596321484,Single Family
120363,122640.0,163000.0,0.752392638,Single Family
130180,29750.0,390286.0,0.076226152,Condo
140062,101080.0,180000.0,0.561555556,Condo
80022,139700.0,235000.0,0.594468085,Single Family
18110,357840.0,252197.0,1.4188,Single Family
150123,10500.0,247900.0,0.042355789,Single Family
10161,312600.0,450000.0,0.694666667,Single Family
1500171,141120.0,488000.0,0.289180328,Single Family
200620,166600.0,350000.0,0.476,Single Family
200053,130390.0,336500.0,0.3874,Single Family
17086,222700.0,338500.0,0.657902511,Single Family
110005,118160.0,100000.0,1.1816,Single Family
19274,329570.0,300000.0,1.098566667,Single Family
80010,162890.0,50000.0,3.2578,Single Family
170177,208900.0,310000.0,0.6738,Single Family
130061,160890.0,110000.0,1.462636364,Single Family
11025,1393070.0,1750000.0,0.79604,Single Family
190059,170140.0,183000.0,0.9297,Single Family
80096,212100.0,257000.0,0.825291829,Single Family
60233,249500.0,505000.0,0.494059406,Single Family
80024,73920.0,86500.0,0.854566474,Condo
130117,108560.0,300000.0,0.361866667,Condo
80184,207200.0,289000.0,0.716955017,Single Family
13012,366800.0,582828.0,0.629345193,Condo
170075,207960.0,375000.0,0.5545,Single Family
80117,97590.0,6078.0,16.05626851,Condo
180188,72000.0,128000.0,0.5625,Single Family
20812,126200.0,260000.0,0.4853,Single Family
18260,367530.0,530000.0,0.6934,Single Family
70083,294210.0,126000.0,2.335,Single Family
60053,177300.0,200000.0,0.8865,Single Family
160458,176740.0,300000.0,0.589133333,Single Family
60693,258146.0,408500.0,0.631936353,Single Family
190216,117380.0,192000.0,0.6114,Single Family
130055,263500.0,500000.0,0.527,Single Family
170422,137830.0,208000.0,0.6626,Condo
160491,83840.0,269000.0,0.311672862,Condo
80061,257390.0,327000.0,0.787125382,Single Family
1900281,151770.0,150000.0,1.0118,Single Family
150149,284900.0,328000.0,0.868597561,Single Family
70452,144900.0,218900.0,0.661946094,Single Family
12073,196280.0,212000.0,0.925849057,Single Family
20003,233770.0,360000.0,0.6493,Condo
170306,103100.0,130000.0,0.793,Condo
60759,67000.0,180000.0,0.372222222,Single Family
200563,76790.0,125000.0,0.6143,Condo
70017,14150.0,4000.0,3.5375,Single Family
190014,165550.0,218500.0,0.7577,Single Family
100051,214320.0,220000.0,0.974181818,Single Family
120335,105420.0,150000.0,0.7028,Single Family
130024,279460.0,420000.0,0.665380952,Single Family
12299,214760.0,345000.0,0.622492754,Single Family
